						
	tim	Обратный отсчёт, с:			25	
	hpb	хп босса			100	
	atb	атака босса			30	
	cob	цвет босса			1 – 4	
	pob	позиция босса			1 – 4	Позиция 1 - ближе всего к игроку, Позиция 4 - дальше всего. По мере исчезновения  миньонов позиция становиться 1 - 3
	tyb	тип босса			1 – 3	"1 - получает 300% урона в начале таймера обратного отсчёта с уменьшением до 10%, но в конце срабатывания таймера восстанавливает себе 10% хп.
2 - получает 400% урона на позиции 4, 300% урона на позиции 3, 200% на 2, 100% на 1
3 - получает +100% за каждого живого миньона, 5 миньонов - 500%, 0 миньонов - 10%. Каждые 3 цикла таймера обратного отсчета создаёт случайного миньона, происходит смена позиций, босс на 2-й, миньон на 1-й"
	hpm1	хп миньона1			50	Количество очков которое необходимо снять атакам игрока, что бы миньон исчез
	atm1	атака миньона1			10	Количество очков снимаемое с игрока, если миньон атакует игрока
	pom1	позиция миньона1			1 – 3	Позиция 1 - ближе всего к игроку, Позиция 3 - дальше всего. Влияет на урон от цвета атаки игрока, см. коэффициенты
	com1	цвет миньона1			1 – 4	Влияет на урон от цвета атаки игрока, см коэффициенты
	rhm1	реген %хп миньона1 в конце обратного отсчета			50	Восстанавливает хм миньона в конце каждого таймера обратного отсчёта
	tym1	тип миньона1			1 – 2	1. агрессивный, атакует игрока если игрок, атаковал любого противника. 2. пассивный, атакует только если игрок, атаковал его
	hpm2	хп миньона2			50	
	atm2	атака миньона2			10	
	pom2	позиция миньона2			1 – 3	
	com2	цвет миньона2			1 – 4	
	rhm2	реген %хп миньона2 в конце обратного отсчета			70	
	tym2	тип миньона2			1 – 2	
	hpm3	хп миньона3			50	
	atm3	атака миньона3			10	
	pom3	позиция миньона3			1 – 3	
	com3	цвет миньона3			1 – 4	
	rhm3	реген %хп миньона3 в конце обратного отсчета			40	
	tym3	тип миньона3			1 – 2	
	hpm4	хп миньона4			50	
	atm4	атака миньона4			10	
	pom4	позиция миньона4			1 – 3	
	com4	цвет миньона4			1 – 4	
	rhm4	реген %хп миньона4 в конце обратного отсчета			90	
	tym4	тип миньона4			1 – 2	
	hpm5	хп миньона5			50	
	atm5	атака миньона5			10	
	pom5	позиция миньона5			1 – 3	
	com5	цвет миньона5			1 – 4	
	rhm5	реген %хп миньона5 в конце обратного отсчета			80	
	tym5	тип миньона5			1 – 2	
						
	hpg	здоровье игрока			2200	
	atg	базовая атака игрока	12	16	12 – 16	при нанесении урона противнику учитывается удача игрока
	dfg	защита игрока			8	вычитается из атаки по игроку от миньонов и босса
	lug	удача игрока (это не процент)			110	влияет на величину урона и вероятность крита (х2). Каждые 10 единиц удачи = 1% шанс крита и шанс полностью избежать атаки
	nsg	количество ударов игрока за сессию			60	
	twg	тип оружия игрока			1 – 3	"1 - короткое, 2 - длинное, 3 - метательное.
1:  не имеет шанса промаха. ударив противника на позиции 1 игроку ответит только атакованный противник и миньоны тип1; ударив противника на позиции 2 игроку ответит атакованный противник, миньоны тип1 и противник на позиции1; ударив противника на позиции 3 игроку ответит атакованный противник, миньоны тип1 и противники на позиции 1 и 2, ударив противника на позиции 4 игроку ответит атакованный противник и все миньоны.
2: имеет шанс промаха. ударив противника на позиции 1 игроку ответит только атакованный противник и миньоны тип1, шанс промаха 15% (каждые 10 единиц удачи снижают шанс на 1%); ударив противника на позиции 2 игроку ответит только атакованный противник и миньоны тип1, шанс промаха 30%(каждые 10 единиц удачи снижают шанс на 1%); ударив противника на позиции 3 игроку ответит атакованный противник, миньоны тип1 и противники на позиции 1, шанс промаха 45%(каждые 10 единиц удачи снижают шанс на 1%); ударив противника на позиции 4 игроку ответит атакованный противник и миньона на позиции 1 и 2, шанс промаха 60%(каждые 10 единиц удачи снижают шанс на 1%). При прямом ударе босса игрока ударят все миньоны не зависимо от типа
3: имеет шанса промаха. ударив противника на любой позиции игроку ответит только атакованный противник и миньоны тип1. Шанс промаха 25% за позицию: 1-25, 2-50, 3-75, 4-100 (каждые 10 единиц удачи снижают шанс на 1%).  При прямом ударе босса игрока ударят все миньоны не зависимо от типа"
						
	ab1	абилка 1. Точечный урон зеленью, процент			84	При активации, под оружием отображается разброс атаки учитывающий процент абилки. При ударе (нажатие на противника) наноситься урон выбранному противнику. Ответную атаку наносит только атакованный миньон и миньоны тип1
	ab2	абилка 2. Точечный урон огнем, процент			55	При активации, под оружием отображается разброс атаки учитывающий процент абилки. При ударе (нажатие на противника) наноситься урон выбранному противнику. Ответную атаку наносит только атакованный миньон и миньоны тип1
